,title,summary,sentiment_BERT,sentiment_RNN
0,IT STARTS WITH US,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",positive,neutral
1,IT ENDS WITH US,A battered wife raised in a violent home attempts to halt the cycle of abuse.,positive,neutral
2,LESSONS IN CHEMISTRY,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,positive,neutral
3,VERITY,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,positive,neutral
4,THE BOYS FROM BILOXI,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",positive,neutral
5,FAIRY TALE,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,positive,neutral
6,WHERE THE CRAWDADS SING,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",positive,neutral
7,UGLY LOVE,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",neutral,neutral
8,DEMON COPPERHEAD,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,positive,neutral
9,THE LIGHT WE CARRY,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,positive,neutral
10,I'M GLAD MY MOM DIED,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,neutral,neutral
11,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING","The actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",positive,neutral
12,SURRENDER,"The lead singer of the Irish rock band U2 offers details of his life, career and activism.",positive,neutral
13,THE REVOLUTIONARY,The Pulitzer Prize-winning biographer details Samuel Adams’s contributions to the American Revolution.,positive,positive
14,THE BODY KEEPS THE SCORE,"How trauma affects the body and mind, and innovative treatments for recovery.",positive,negative
15,AND THERE WAS LIGHT,The Pulitzer Prize-winning biographer portrays the life of Abraham Lincoln.,positive,neutral
16,WHAT IF? 2,The creator of the web comic “xkcd” and former NASA roboticist looks into hypothetical and oddball scenarios.,positive,negative
17,THE PHILOSOPHY OF MODERN SONG,"In a collection of more than 60 essays, the musician and winner of the Nobel Prize in Literature explores the nature of popular music.",positive,neutral
18,DREAMLAND,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,positive,neutral
