,title,summary,sentiment_BERT,sentiment_RNN,title_gs,description,img,author,genres
0,It Starts with Us,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",positive,neutral,IT+STARTS+WITH+US,"PREVIOUS BOOK IN SERIES: IT ENDS WITH US, ISBN 9781501110368. Before 'It Ends with Us', it started with Atlas. Colleen Hoover tells fan favourite Atlass side of the story and shares what comes next in this long-anticipated sequel to the glorious and touching (USA TODAY) 'It Ends With Us'.",http://books.google.com/books/content?id=CMeVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Colleen Hoover,Fiction
1,It Ends with Us,A battered wife raised in a violent home attempts to halt the cycle of abuse.,positive,neutral,IT+ENDS+WITH+US,"In this “brave and heartbreaking novel that digs its claws into you and doesn’t let go, long after you’ve finished it” (Anna Todd, New York Times bestselling author) from the #1 New York Times bestselling author of All Your Perfects, a workaholic with a too-good-to-be-true romance can’t stop thinking about her first love. Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town where she grew up—she graduated from college, moved to Boston, and started her own business. And when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life seems too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He’s also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn’t hurt. Lily can’t get him out of her head. But Ryle’s complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his “no dating” rule, she can’t help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan—her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened. An honest, evocative, and tender novel, It Ends with Us is “a glorious and touching read, a forever keeper. The kind of book that gets handed down” (USA TODAY).",http://books.google.com/books/content?id=wmnuDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Colleen Hoover,Fiction
2,Chemistry Lessons,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,positive,neutral,LESSONS+IN+CHEMISTRY,"From advice columnist Meredith Goldstein, a dazzling, romantic, and emotionally resonant YA debut about a teen science whiz in Cambridge, Massachusetts, who tries to crack the chemical equation for lasting love and instead wreaks havoc on herself and the boys in her life. For seventeen-year-old Maya, the equation for happiness is simple: a dream internship at MIT + two new science nerd friends + a perfect boyfriend = one amazing summer. Then Whit dumps her out of the blue. Maya is miserable until she discovers that her scientist mother, before she died, was conducting research on manipulating pheromones to enhance human attraction. If Maya can finish her mother’s work, maybe she can get Whit back. But when her experiment creates chaos in her love life, she realizes that maybe love and loss can’t be understood using the scientific method. Can she learn to trust the unmeasurables of love and attraction instead?",http://books.google.com/books/content?id=F4osDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Meredith Goldstein,Young Adult Fiction
3,Verity,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,positive,neutral,VERITY,"Whose truth is the lie? Stay up all night reading the sensational psychological thriller that has readers obsessed, from the #1 New York Times bestselling author of Too Late and It Ends With Us. #1 New York Times Bestseller · USA Today Bestseller · Globe and Mail Bestseller · Publishers Weekly Bestseller Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity’s notes and outlines, hoping to find enough material to get her started. What Lowen doesn’t expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night her family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents could devastate the already grieving father. But as Lowen’s feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife’s words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her.",http://books.google.com/books/content?id=ISxGEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Colleen Hoover,Fiction
4,The Boys from Biloxi,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",positive,neutral,THE+BOYS+FROM+BILOXI,"#1 NEW YORK TIMES BESTSELLER • Two families. One courtroom showdown. • John Grisham’s most gripping thriller yet. • “A legal literary legend.” —USA Today John Grisham returns to Mississippi with the riveting story of two sons of immigrant families who grow up as friends, but ultimately find themselves on opposite sides of the law. Grisham’s trademark twists and turns will keep you tearing through the pages until the stunning conclusion. For most of the last hundred years, Biloxi was known for its beaches, resorts, and seafood industry. But it had a darker side. It was also notorious for corruption and vice, everything from gambling, prostitution, bootleg liquor, and drugs to contract killings. The vice was controlled by small cabal of mobsters, many of them rumored to be members of the Dixie Mafia. Keith Rudy and Hugh Malco grew up in Biloxi in the sixties and were childhood friends, as well as Little League all-stars. But as teenagers, their lives took them in different directions. Keith’s father became a legendary prosecutor, determined to “clean up the Coast.” Hugh’s father became the “Boss” of Biloxi’s criminal underground. Keith went to law school and followed in his father’s footsteps. Hugh preferred the nightlife and worked in his father’s clubs. The two families were headed for a showdown, one that would happen in a courtroom. Life itself hangs in the balance in The Boys from Biloxi, a sweeping saga rich with history and with a large cast of unforgettable characters. Don’t miss John Grisham’s new book, THE EXCHANGE: AFTER THE FIRM, coming soon!",http://books.google.com/books/content?id=ZTpuEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,John Grisham,Fiction
5,Fairy Tale,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,positive,neutral,FAIRY+TALE,"A #1 New York Times Bestseller and New York Times Book Review Editors’ Choice! Legendary storyteller Stephen King goes into the deepest well of his imagination in this spellbinding novel about a seventeen-year-old boy who inherits the keys to a parallel world where good and evil are at war, and the stakes could not be higher—for that world or ours. Charlie Reade looks like a regular high school kid, great at baseball and football, a decent student. But he carries a heavy load. His mom was killed in a hit-and-run accident when he was ten, and grief drove his dad to drink. Charlie learned how to take care of himself—and his dad. When Charlie is seventeen, he meets a dog named Radar and her aging master, Howard Bowditch, a recluse in a big house at the top of a big hill, with a locked shed in the backyard. Sometimes strange sounds emerge from it. Charlie starts doing jobs for Mr. Bowditch and loses his heart to Radar. Then, when Bowditch dies, he leaves Charlie a cassette tape telling a story no one would believe. What Bowditch knows, and has kept secret all his long life, is that inside the shed is a portal to another world. Magnificent, terrifying, and “spellbinding…packed with glorious flights of imagination and characteristic tenderness about childhood, Fairy Tale is vintage King at his finest” (Esquire). “Good, evil, a kingdom to save, monsters to slay—these are the stuff that page-turners are made from.” —Laura Miller, Slate",http://books.google.com/books/content?id=-GFaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Stephen King,Fiction
6,Where the Crawdads Sing,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",positive,neutral,WHERE+THE+CRAWDADS+SING,"NOW A MAJOR MOTION PICTURE—The #1 New York Times bestselling worldwide sensation with more than 18 million copies sold, hailed by The New York Times Book Review as “a painfully beautiful first novel that is at once a murder mystery, a coming-of-age narrative and a celebration of nature.” For years, rumors of the “Marsh Girl” have haunted Barkley Cove, a quiet town on the North Carolina coast. So in late 1969, when handsome Chase Andrews is found dead, the locals immediately suspect Kya Clark, the so-called Marsh Girl. But Kya is not what they say. Sensitive and intelligent, she has survived for years alone in the marsh that she calls home, finding friends in the gulls and lessons in the sand. Then the time comes when she yearns to be touched and loved. When two young men from town become intrigued by her wild beauty, Kya opens herself to a new life—until the unthinkable happens. Where the Crawdads Sing is at once an exquisite ode to the natural world, a heartbreaking coming-of-age story, and a surprising tale of possible murder. Owens reminds us that we are forever shaped by the children we once were, and that we are all subject to the beautiful and violent secrets that nature keeps.",http://books.google.com/books/content?id=CGVDDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Delia Owens,Fiction
7,Ugly Love,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",neutral,neutral,UGLY+LOVE,"From Colleen Hoover, the #1 New York Times bestselling author of It Starts with Us and It Ends with Us, a heart-wrenching love story that proves attraction at first sight can be messy. When Tate Collins meets airline pilot Miles Archer, she doesn't think it's love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her. Never ask about the past. Don’t expect a future. They think they can handle it, but realize almost immediately they can’t handle it at all. Hearts get infiltrated. Promises get broken. Rules get shattered. Love gets ugly.",http://books.google.com/books/content?id=QF1GAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Colleen Hoover,Fiction
8,Demon Copperhead,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,positive,neutral,DEMON+COPPERHEAD,"The teenage son of an Appalachian single mother who dies when he is eleven uses his good looks, wit, and instincts to survive foster care, child labor, addiction, disastrous loves, and crushing losses.",http://books.google.com/books/content?id=w7ntzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Barbara Kingsolver,Fiction
9,The Light We Carry,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,positive,neutral,THE+LIGHT+WE+CARRY,"#1 NEW YORK TIMES AND USA TODAY BESTSELLER • ONE OF TIME’S 100 MUST-READ BOOKS OF 2022 • In an inspiring follow-up to her critically acclaimed, #1 bestselling memoir Becoming, former First Lady Michelle Obama shares practical wisdom and powerful strategies for staying hopeful and balanced in today’s highly uncertain world. There may be no tidy solutions or pithy answers to life’s big challenges, but Michelle Obama believes that we can all locate and lean on a set of tools to help us better navigate change and remain steady within flux. In The Light We Carry, she opens a frank and honest dialogue with readers, considering the questions many of us wrestle with: How do we build enduring and honest relationships? How can we discover strength and community inside our differences? What tools do we use to address feelings of self-doubt or helplessness? What do we do when it all starts to feel like too much? Michelle Obama offers readers a series of fresh stories and insightful reflections on change, challenge, and power, including her belief that when we light up for others, we can illuminate the richness and potential of the world around us, discovering deeper truths and new pathways for progress. Drawing from her experiences as a mother, daughter, spouse, friend, and First Lady, she shares the habits and principles she has developed to successfully adapt to change and overcome various obstacles—the earned wisdom that helps her continue to “become.” She details her most valuable practices, like “starting kind,” “going high,” and assembling a “kitchen table” of trusted friends and mentors. With trademark humor, candor, and compassion, she also explores issues connected to race, gender, and visibility, encouraging readers to work through fear, find strength in community, and live with boldness. “When we are able to recognize our own light, we become empowered to use it,” writes Michelle Obama. A rewarding blend of powerful stories and profound advice that will ignite conversation, The Light We Carry inspires readers to examine their own lives, identify their sources of gladness, and connect meaningfully in a turbulent world.",http://books.google.com/books/content?id=sth2EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Michelle Obama,Biography & Autobiography
